"Nominative";"Genitive";"Dative";"Accusative";"Instrumental";"Prepositional"
"Абхазия";"Абхазии";"Абхазии";"Абхазию";"Абхазией";"Абхазии"
"Австралия";"Австралии";"Австралии";"Австралию";"Австралией";"Австралии"
"Австрия";"Австрии";"Австрии";"Австрию";"Австрией";"Австрии"
"Азербайджан";"Азербайджана";"Азербайджану";"Азербайджан";"Азербайджаном";"Азербайджане"
"Азорские острова";"Азорских островов";"Азорским островам";"Азорские острова";"Азорскими островами";"Азорских островах"
"Аландские острова";"Аландских островов";"Аландским островам";"Аландские острова ";"Аландскими островами";"Аландских островах"
"Албания";"Албании";"Албании";"Албанию";"Албанией";"Албании"
"Алжир";"Алжира";"Алжиру";"Алжир";"Алжиром";"Алжире"
"Американское Самоа";"Американского Самоа";"Американскому Самоа";"Американское Самоа";"Американским Самоа";"Американском Самоа"
"Ангилья";"Ангильи";"Ангилье";"Ангилью";"Ангильей";"Ангильи"
"Ангола";"Анголы";"Анголе";"Анголу";"Анголой";"Анголе"
"Андорра";"Андорры";"Андорре";"Андорру";"Андоррой";"Андорре"
"Антигуа и Барбуда";"Антигуа и Барбуды";"Антигуа и Барбуде";"Антигуа и Барбуду";"Антигуа и Барбудой";"Антигуа и Барбуде"
"Макао";"Макао";"Макао";"Макао";"Макао";"Макао"
"Аргентина";"Аргентины";"Аргентине";"Аргентину";"Аргентиной";"Аргентине"
"Армения";"Армении";"Армении";"Армению";"Арменией";"Армении"
"Аруба";"Арубы";"Арубе";"Арубу";"Арубой";"Арубе"
"Афганистан";"Афганистана";"Афганистану";"Афганистан";"Афганистаном";"Афганистану"
"Багамы";"Багам";"Багамам";"Багамы";"Багамами";"Багамах"
"Бангладеш";"Бангладеша";"Бангладешу";"Бангладеш";"Бангладешем";"Бангладеше"
"Барбадос";"Барбадоса";"Барбадосу";"Барбадос";"Барбадосом";"Барбадосе"
"Бахрейн";"Бахрейна";"Бахрейну";"Бахрейн";"Бахрейном";"Бахрейне"
"Белоруссия";"Белоруссии";"Белорусси";"Белоруссию";"Белоруссией";"Белоруссии"
"Белиз";"Белиза";"Белизу";"Белиз";"Белизом";"Белизе"
"Бельгия";"Бельгии";"Бельгии";"Бельгию";"Бельгией";"Бельгии"
"Бенин";"Бенина";"Бенину";"Бенин";"Бенином";"Бенине"
